year,doy,groundradiation,tmin,tmax,vp,windspeed,rain,RSEvap,RSTran,RSLAI,RSCut
2002,204,12.9,11.1,14.8,0.71,3.3,2.6,0,0,3.5,0
2002,205,19.3,10.7,15.1,0.7,5,0.9,0,0,3.45,0
2002,206,20,11.3,15.4,0.72,2.7,0,0,0,3.4,0
2002,207,15.7,11.4,15.7,0.75,3,4.5,0,0,3.3,0
2002,208,10.9,10.2,17.7,0.89,1,0,0,0,3.25,0
2002,209,15,14.9,22.3,0.92,1.9,0,0,0,3.2,0
2002,210,19.5,13.3,20.9,0.89,1.3,0,0,0,3.19,0
2002,211,20.4,15.2,27.9,1,1.2,0,0,0,3.15,0
2002,212,18.7,19,28.1,0.77,1.4,0.5,0,0,3.1,0
2002,213,24.4,17.8,26.1,0.8,1.7,0,0,0,3.1,0
2002,214,8.3,18.5,24.9,0.73,1.1,0.8,0,0,3.05,0
2002,215,3,16.8,19.1,0.67,1,7.6,0,0,3.05,0
2002,216,5.7,16.8,20.6,0.75,0.9,2.5,0,0,3,0
2002,217,24.8,15.7,24.4,0.84,1.7,0,0,0,3,0
2002,218,19.6,15.3,24.4,0.81,1.3,0,0,0,2.95,0
2002,219,23.9,15.7,22.4,0.83,1.1,0,0,0,2.95,0
2002,220,21.2,15.5,22.3,0.75,1,0,0,0,2.95,0
2002,221,9.5,16.8,22,0.6,1.1,0.1,0,0,2.9,0
2002,222,12.7,16.2,23.9,0.8,1.2,0.4,0,0,2.9,0
2002,223,8.4,15.9,22.8,0.85,0.7,63.9,0,0,2.9,0
2002,224,14.3,14.8,20.5,0.84,2,1.3,0,0,2.85,0
2002,225,20.7,13.8,18.5,0.68,2.2,0.3,0,0,2.8,0
2002,226,13.5,14.5,20,0.82,1.1,0,0,0,2.7,0
2002,227,17.1,14.1,22.3,0.95,1,0,0,0,2.65,0
2002,228,12.7,16.3,20.9,0.76,0.7,1.6,0,0,2.6,0
2002,229,22.3,16.5,25,0.84,1,0,0,0,2.5,0
2002,230,21.2,19.1,25.8,0.64,1.7,0,0,0,2.4,0
2002,231,16.8,19.1,25.3,0.61,2.1,3,0,0,2.3,0
2002,232,11,17.8,24.7,0.82,1,0.6,0,0,2.2,0
2002,233,18.4,16.9,23.5,0.83,1.3,3,0,0,2,0
2002,234,20.6,15.7,26.7,0.75,1.5,0,0,0,1.95,0
2002,235,19.1,16.9,25.1,0.77,1.4,0.1,0,0,1.9,0
